ts	uptime	events	spool	db_bytes	wal_bytes	rss_bytes	handles	threads
2026-08-29T19:29:29Z	29m10.076s	12587	0	135077888	1404952	29589504	201	15
2026-08-29T19:29:45Z	29m26.11s	12591	0	135077888	1569752	29655040	201	15
2026-08-29T19:59:47Z	down	0	0	140255232	774592	25284608	209	16
2026-08-29T20:04:59Z	1h4m41.726s	12792	0	140255232	1100072	26320896	211	16
2026-08-29T20:05:07Z	1h4m49.025s	12795	0	140255232	1289592	29888512	211	16
2026-08-29T20:29:52Z	1h29m36.601s	13030	0	142725120	1573872	30863360	216	16
2026-08-29T20:35:09Z	1h34m50.598s	13058	0	142938112	1627432	30904320	215	16
2026-08-29T20:40:56Z	1h40m38.027s	13119	0	143511552	3193032	31809536	215	16
2026-08-29T20:59:57Z	down	0	0	145948672	0	25735168	221	17
